benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result
dryrun_lisast/AGT007+2.p,LisaST-dry2-2356,e2_deconstruct,complete,0.19547,0.173121,4752.0,--
dryrun_lisast/AGT007+2.p,LisaST-dry2-2356,e1b_balanced,complete,0.106195,0.0934571,0.0,--
dryrun_lisast/AGT022+1.p,LisaST-dry2-2356,e2_deconstruct,complete,0.202686,0.19612,4752.0,--
dryrun_lisast/AGT022+1.p,LisaST-dry2-2356,e1b_balanced,complete,0.2041,0.183061,4752.0,--
dryrun_lisast/ALG040+1.p,LisaST-dry2-2356,e2_deconstruct,complete,0.192909,0.170218,4752.0,--
dryrun_lisast/ALG040+1.p,LisaST-dry2-2356,e1b_balanced,complete,0.166221,0.154678,4752.0,--
dryrun_lisast/ALG213+1.p,LisaST-dry2-2356,e2_deconstruct,complete,0.187422,0.180198,4752.0,--
dryrun_lisast/ALG213+1.p,LisaST-dry2-2356,e1b_balanced,complete,0.200442,0.206187,4752.0,--
dryrun_lisast/BIO006+1.p,LisaST-dry2-2356,e2_deconstruct,complete,0.190743,0.167912,4752.0,--
dryrun_lisast/BIO006+1.p,LisaST-dry2-2356,e1b_balanced,complete,0.203547,0.178407,4752.0,--
