dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,theBenchmark.p,e1a,age-fair,REFUTED,4,369.777,4355.865,,,2987,16446,2941,13035,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,balanced,REFUTED,4,107.483,1103.613,,,928,7216,919,6132,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,equational,REFUTED,4,231.934,1991.681,,,928,7216,919,6132,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,first-negative,REFUTED,4,350.266,951.995,,,158,1593,128,1380,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,occurrence,REFUTED,4,362.003,2073.065,,,1042,8090,1026,6788,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,subsumption-light,REFUTED,4,227.569,2709.208,,,941,8383,930,7274,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,unary-redundancy,REFUTED,4,373.831,2713.407,,,980,8773,970,7615,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,weight-greedy,REFUTED,4,215.481,705.274,,,50,407,43,331,12,,,,,,,,false,
