benchmark,solver,configuration,status,cpu time,wallclock time,memory usage,result
dryrun_lisast/AGT007+2.p,LisaST-dry-2351,e2_deconstruct,complete,0.190618,0.167475,4752.0,--
dryrun_lisast/AGT007+2.p,LisaST-dry-2351,e1b_balanced,complete,0.175781,0.166801,4752.0,--
dryrun_lisast/AGT022+1.p,LisaST-dry-2351,e2_deconstruct,complete,0.190388,0.184026,4752.0,--
dryrun_lisast/AGT022+1.p,LisaST-dry-2351,e1b_balanced,complete,0.189945,0.178854,4752.0,--
dryrun_lisast/ALG040+1.p,LisaST-dry-2351,e2_deconstruct,complete,0.176925,0.157525,4752.0,--
dryrun_lisast/ALG040+1.p,LisaST-dry-2351,e1b_balanced,complete,0.164319,0.143489,28436.0,--
dryrun_lisast/ALG213+1.p,LisaST-dry-2351,e2_deconstruct,complete,0.164433,0.149835,4752.0,--
dryrun_lisast/ALG213+1.p,LisaST-dry-2351,e1b_balanced,complete,0.161954,0.170688,4752.0,--
dryrun_lisast/BIO006+1.p,LisaST-dry-2351,e2_deconstruct,complete,0.183815,0.165846,4752.0,--
dryrun_lisast/BIO006+1.p,LisaST-dry-2351,e1b_balanced,complete,0.194563,0.191951,4752.0,--
