dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,theBenchmark.p,e1a,age-fair,REFUTED,4,369.934,4430.103,,,2987,16446,2941,13035,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,balanced,REFUTED,4,104.388,1106.050,,,928,7216,919,6132,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,equational,REFUTED,4,221.880,2054.688,,,928,7216,919,6132,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,first-negative,REFUTED,4,367.404,956.503,,,158,1593,128,1380,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,occurrence,REFUTED,4,349.149,2121.858,,,1042,8090,1026,6788,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,subsumption-light,REFUTED,4,226.049,2816.590,,,941,8383,930,7274,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,unary-redundancy,REFUTED,4,388.836,2760.786,,,980,8773,970,7615,12,,,,,,,,false,
starexec,theBenchmark.p,e1a,weight-greedy,REFUTED,4,232.700,694.580,,,50,407,43,331,12,,,,,,,,false,
