dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,theBenchmark.p,e1a,age-fair,TIMEOUT,555,1139.889,168509.117,,,18513,12437655,14327,12344201,,,,,,,,,false,
starexec,theBenchmark.p,e1a,balanced,REFUTED,555,285.847,159125.643,,,40215,3047095,33729,2993428,655,,,,,,,,false,
starexec,theBenchmark.p,e1a,equational,SATURATED,555,559.948,3751.263,,,916,39671,878,19927,,,,,,,,,false,
starexec,theBenchmark.p,e1a,first-negative,SATURATED,555,588.172,271.724,,,1,1,1,1,,,,,,,,,false,
starexec,theBenchmark.p,e1a,occurrence,SATURATED,555,938.938,3939.016,,,1088,37336,1087,18614,,,,,,,,,false,
starexec,theBenchmark.p,e1a,subsumption-light,SATURATED,555,565.166,3196.039,,,679,24032,645,7894,,,,,,,,,false,
starexec,theBenchmark.p,e1a,unary-redundancy,SATURATED,555,950.220,3979.419,,,1104,34703,1005,19285,,,,,,,,,false,
starexec,theBenchmark.p,e1a,weight-greedy,SATURATED,555,522.347,289.174,,,1,1,1,1,,,,,,,,,false,
