job,dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
7426,starexec,AGT007+2.p,e3-time_baseline,balanced,TIMEOUT,922,723.489,164736.582,,,31991,220982,31856,180395,1022,13,,,,,,,false,
7426,starexec,AGT022+1.p,e3-time_baseline,balanced,TIMEOUT,555,664.018,164760.281,,,35286,174996,30742,128930,655,13,,,,,,,false,
7426,starexec,ALG040+1.p,e3-time_baseline,balanced,REFUTED,4,421.413,1176.039,68.485,430.682,928,7216,919,6132,12,2,219,40643,602,388,5,false,false,
7426,starexec,ALG213+1.p,e3-time_baseline,balanced,TIMEOUT,4,340.256,165539.222,,,1116,9543733,1028,9537537,5,5,,,,,,,false,
7426,starexec,BIO006+1.p,e3-time_baseline,balanced,PARSE_ERR,,0.000,,,,,,,,,,,,,,,,false,StackOverflowError
7426,starexec,COM008+1.p,e3-time_baseline,balanced,TIMEOUT,10,370.682,165459.258,,,15908,9513031,15637,9489563,15,3,,,,,,,false,
7426,starexec,COM008+2.p,e3-time_baseline,balanced,TIMEOUT,8,337.074,165202.969,,,16216,6553489,15035,6522657,13,3,,,,,,,false,
7426,starexec,COM131+1.p,e3-time_baseline,balanced,TIMEOUT,59,969.852,165377.908,,,18053,8216792,17454,8187578,157,95,,,,,,,false,
7426,starexec,COM136+1.p,e3-time_baseline,balanced,REFUTED,56,3426.145,1043.930,92.951,29210.605,544,2432,452,1719,152,94,2939,13637390,17792,9820,57,false,false,
7426,starexec,COM139+1.p,e3-time_baseline,balanced,TIMEOUT,55,1298.564,165075.430,,,6806,10331701,6171,10313781,152,94,,,,,,,false,
7426,starexec,CSR005+2.p,e3-time_baseline,balanced,TIMEOUT,55,591.978,165034.949,,,40922,8813609,38138,8702323,120,18,,,,,,,false,
7426,starexec,CSR021+1.p,e3-time_baseline,balanced,REFUTED,47,1231.080,2186.445,72.999,5287.381,1183,25392,1156,21337,137,21,1040,664001,4515,1464,48,false,false,
7426,starexec,CSR022+1.p,e3-time_baseline,balanced,REFUTED,47,760.268,1245.893,46.814,3323.066,1182,24945,1163,21033,137,21,1037,662932,4511,1464,48,false,false,
7426,starexec,CSR025+5.p,e3-time_baseline,balanced,HARD_TIMEOUT,540249,0.000,,,,,,,,,,,,,,,,false,
7426,starexec,CSR030+3.p,e3-time_baseline,balanced,REFUTED,8005,2957.231,56335.733,152.119,5494.983,30323,85148,29204,44547,8007,0,44051,1238415,103763,89,8006,false,false,
7426,starexec,CSR033+3.p,e3-time_baseline,balanced,REFUTED,8005,2188.720,58633.793,157.008,5341.112,34396,182704,33748,134822,8007,0,44079,1339440,103767,89,8006,false,false,
7426,starexec,CSR036+5.p,e3-time_baseline,balanced,HARD_TIMEOUT,540249,0.000,,,,,,,,,,,,,,,,false,
7426,starexec,CSR038+4.p,e3-time_baseline,balanced,HARD_TIMEOUT,44216,0.000,,,,,,,,,,,,,,,,false,
7426,starexec,CSR042+3.p,e3-time_baseline,balanced,REFUTED,8005,3058.520,10396.775,180.070,5374.651,11322,20411,11258,8007,8007,0,44041,1238170,103750,89,8006,false,false,
7426,starexec,CSR044+3.p,e3-time_baseline,balanced,REFUTED,8005,3170.058,46529.958,135.110,5150.048,28869,83415,28433,44500,8007,0,44067,1439544,103800,89,8006,false,false,
