dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/CSR/CSR116+8.p,deconstruct,,SKIPPED,10188,0.000,,,,,,,,,,,,,,,,false,|F|=59695 > 50000
casc-j13-fof,Problems/CSR/CSR117+1.p,deconstruct,,CLAUSIFIED,268,189.086,,0.000,239.755,,,,,270,17,1514,395669,2027,563,269,true,false,
casc-j13-fof,Problems/CSR/CSR208+1.p,deconstruct,,SKIPPED,7432,0.000,,,,,,,,,,,,,,,,false,|F|=135457 > 50000
casc-j13-fof,Problems/GEO/GEO085+1.p,deconstruct,,CLAUSIFIED,16,236.078,,0.000,363.462,,,,,56,17,638,292361,2855,1406,17,true,false,
casc-j13-fof,Problems/GEO/GEO087+1.p,deconstruct,,CLAUSIFIED,16,209.924,,0.000,337.066,,,,,56,19,657,307502,2852,1417,17,true,false,
casc-j13-fof,Problems/GEO/GEO089+1.p,deconstruct,,CLAUSIFIED,16,207.316,,0.000,371.624,,,,,57,19,658,316947,2873,1443,17,true,false,
casc-j13-fof,Problems/GEO/GEO093+1.p,deconstruct,,CLAUSIFIED,16,279.563,,0.000,363.768,,,,,59,20,674,374807,2946,1585,17,true,false,
casc-j13-fof,Problems/GEO/GEO095+1.p,deconstruct,,CLAUSIFIED,16,221.369,,0.000,392.639,,,,,57,19,667,423052,3047,1865,17,true,false,
casc-j13-fof,Problems/GEO/GEO111+1.p,deconstruct,,CLAUSIFIED,17,220.016,,0.000,442.261,,,,,64,22,751,499110,3504,1819,18,true,false,
casc-j13-fof,Problems/GEO/GEO117+1.p,deconstruct,,CLAUSIFIED,27,281.178,,0.000,775.302,,,,,113,34,1214,1026058,5830,2245,28,true,false,
casc-j13-fof,Problems/GEO/GEO138+1.p,deconstruct,,CLAUSIFIED,27,298.935,,0.000,929.632,,,,,116,36,1245,1158093,5953,2406,28,true,false,
casc-j13-fof,Problems/GEO/GEO260+1.p,deconstruct,,CLAUSIFIED,31,165.222,,0.000,234.340,,,,,70,7,507,168442,2285,864,32,true,false,
casc-j13-fof,Problems/GEO/GEO274+1.p,deconstruct,,CLAUSIFIED,116,748.216,,0.000,4664.029,,,,,265,57,4974,6876326,35394,13064,117,true,false,
casc-j13-fof,Problems/GEO/GEO277+1.p,deconstruct,,CLAUSIFIED,126,647.166,,0.000,4803.969,,,,,279,57,5036,7014824,35500,13064,127,true,false,
casc-j13-fof,Problems/GEO/GEO282+1.p,deconstruct,,CLAUSIFIED,123,676.721,,0.000,5665.485,,,,,284,55,5037,6821665,35777,13064,124,true,false,
casc-j13-fof,Problems/GEO/GEO285+1.p,deconstruct,,CLAUSIFIED,132,743.884,,0.000,5532.830,,,,,298,56,5103,7027786,35840,13064,133,true,false,
casc-j13-fof,Problems/GEO/GEO298+1.p,deconstruct,,CLAUSIFIED,157,657.307,,0.000,5803.981,,,,,321,63,5361,7771119,37155,13064,158,true,false,
casc-j13-fof,Problems/GEO/GEO306+1.p,deconstruct,,CLAUSIFIED,126,710.891,,0.000,5681.705,,,,,289,60,5387,7545414,38372,13064,127,true,false,
casc-j13-fof,Problems/GEO/GEO307+1.p,deconstruct,,CLAUSIFIED,145,653.108,,0.000,5301.147,,,,,308,60,5478,7705699,38369,13064,146,true,false,
casc-j13-fof,Problems/GEO/GEO308+1.p,deconstruct,,CLAUSIFIED,146,651.181,,0.000,5827.262,,,,,309,60,5483,7716169,38373,13064,147,true,false,
casc-j13-fof,Problems/GEO/GEO310+1.p,deconstruct,,CLAUSIFIED,148,678.504,,0.000,5865.289,,,,,311,60,5493,7765795,38386,13064,149,true,false,
casc-j13-fof,Problems/GEO/GEO321+1.p,deconstruct,,CLAUSIFIED,177,844.389,,0.000,6188.118,,,,,340,60,5638,8041318,38517,13064,178,true,false,
casc-j13-fof,Problems/GEO/GEO323+1.p,deconstruct,,CLAUSIFIED,179,748.531,,0.000,5465.503,,,,,342,60,5648,8084882,38529,13064,180,true,false,
casc-j13-fof,Problems/GEO/GEO328+1.p,deconstruct,,CLAUSIFIED,185,658.291,,0.000,5942.151,,,,,348,60,5678,8155172,38554,13064,186,true,false,
casc-j13-fof,Problems/GEO/GEO330+1.p,deconstruct,,CLAUSIFIED,187,684.794,,0.000,6364.638,,,,,350,60,5688,8176162,38558,13064,188,true,false,
casc-j13-fof,Problems/GEO/GEO331+1.p,deconstruct,,CLAUSIFIED,125,621.685,,0.000,5560.268,,,,,279,60,5562,7518115,39567,13064,126,true,false,
casc-j13-fof,Problems/GEO/GEO337+1.p,deconstruct,,CLAUSIFIED,129,628.709,,0.000,5908.831,,,,,283,60,5471,7525231,38999,13064,130,true,false,
casc-j13-fof,Problems/GEO/GEO343+1.p,deconstruct,,CLAUSIFIED,124,643.172,,0.000,5734.411,,,,,292,61,5511,7697926,39364,13064,125,true,false,
casc-j13-fof,Problems/GEO/GEO349+1.p,deconstruct,,CLAUSIFIED,130,644.282,,0.000,6609.669,,,,,302,66,5667,8055388,39917,13064,131,true,false,
casc-j13-fof,Problems/GEO/GEO351+1.p,deconstruct,,CLAUSIFIED,136,710.532,,0.000,7210.739,,,,,311,69,5742,8331846,39996,13064,137,true,false,
casc-j13-fof,Problems/GEO/GEO480+1.p,deconstruct,,SKIPPED,3634,0.000,,,,,,,,,,,,,,,,false,|F|=1090108 > 50000
casc-j13-fof,Problems/GEO/GEO491+1.p,deconstruct,,CLAUSIFIED,44,194.109,,0.000,194.539,,,,,75,6,604,155970,4910,675,45,true,false,
casc-j13-fof,Problems/GEO/GEO494+1.p,deconstruct,,CLAUSIFIED,66,175.213,,0.000,205.982,,,,,101,6,855,207609,6797,675,67,true,false,
casc-j13-fof,Problems/GEO/GEO498+1.p,deconstruct,,CLAUSIFIED,109,205.948,,0.000,222.939,,,,,162,4,1301,231663,10353,618,110,true,false,
casc-j13-fof,Problems/GEO/GEO501+1.p,deconstruct,,CLAUSIFIED,122,231.549,,0.000,286.610,,,,,179,5,1455,465044,11269,1247,123,true,false,
casc-j13-fof,Problems/GEO/GEO504+1.p,deconstruct,,CLAUSIFIED,130,211.518,,0.000,219.397,,,,,191,3,1531,206083,12423,791,131,true,false,
casc-j13-fof,Problems/GEO/GEO513+1.p,deconstruct,,CLAUSIFIED,172,268.147,,0.000,360.701,,,,,265,5,2068,545755,17897,983,173,true,false,
casc-j13-fof,Problems/GEO/GEO514+1.p,deconstruct,,CLAUSIFIED,173,262.008,,0.000,300.809,,,,,264,4,2064,387151,17919,983,174,true,false,
casc-j13-fof,Problems/GEO/GEO517+1.p,deconstruct,,CLAUSIFIED,180,325.148,,0.000,509.552,,,,,277,8,2219,1228634,19613,2021,181,true,false,
casc-j13-fof,Problems/GEO/GEO520+1.p,deconstruct,,CLAUSIFIED,193,296.117,,0.000,389.671,,,,,287,5,2336,637067,21028,1041,194,true,false,
casc-j13-fof,Problems/GEO/GEO523+1.p,deconstruct,,CLAUSIFIED,200,299.059,,0.000,396.243,,,,,294,4,2399,470994,21657,983,201,true,false,
casc-j13-fof,Problems/GEO/GEO526+1.p,deconstruct,,CLAUSIFIED,209,291.501,,0.000,412.947,,,,,307,5,2513,823073,22389,1585,210,true,false,
casc-j13-fof,Problems/GEO/GEO528+1.p,deconstruct,,CLAUSIFIED,212,287.249,,0.000,368.536,,,,,307,4,2533,545755,22698,983,213,true,false,
casc-j13-fof,Problems/GEO/GEO535+1.p,deconstruct,,CLAUSIFIED,227,306.985,,0.000,441.315,,,,,335,6,2782,819680,26774,1128,228,true,false,
casc-j13-fof,Problems/GRA/GRA005+1.p,deconstruct,,CLAUSIFIED,17,213.776,,0.000,516.861,,,,,83,21,823,540109,3765,2303,18,true,false,
casc-j13-fof,Problems/GRA/GRA008+1.p,deconstruct,,CLAUSIFIED,17,206.460,,0.000,506.882,,,,,83,20,821,498823,3766,2209,18,true,false,
casc-j13-fof,Problems/GRP/GRP652+2.p,deconstruct,,SKIPPED,5675,0.000,,,,,,,,,,,,,,,,false,|F|=312551 > 50000
casc-j13-fof,Problems/GRP/GRP654+1.p,deconstruct,,CLAUSIFIED,5,105.767,,0.000,45.569,,,,,6,1,84,6196,279,334,6,true,false,
casc-j13-fof,Problems/GRP/GRP655+3.p,deconstruct,,CLAUSIFIED,5,112.662,,0.000,48.569,,,,,6,2,92,10649,265,457,6,true,false,
casc-j13-fof,Problems/GRP/GRP748+1.p,deconstruct,,CLAUSIFIED,11,149.939,,0.000,130.415,,,,,15,12,285,149992,863,1110,12,true,false,
casc-j13-fof,Problems/HWV/HWV051+1.p,deconstruct,,CLAUSIFIED,724,332.218,,0.000,1578.769,,,,,919,5,4414,936488,6794,3229,725,true,false,
casc-j13-fof,Problems/ITP/ITP002+2.p,deconstruct,,CLAUSIFIED,33,209.731,,0.000,281.915,,,,,58,9,587,510209,2758,5707,34,true,false,
casc-j13-fof,Problems/ITP/ITP004+1.p,deconstruct,,CLAUSIFIED,30,161.620,,0.000,164.061,,,,,56,6,449,133812,2616,836,31,true,false,
casc-j13-fof,Problems/ITP/ITP004+4.p,deconstruct,,SKIPPED,3173,0.000,,,,,,,,,,,,,,,,false,|F|=325058 > 50000
casc-j13-fof,Problems/ITP/ITP006+2.p,deconstruct,,CLAUSIFIED,51,344.755,,0.000,3542.028,,,,,243,40,1923,2518501,9049,3997,52,true,false,
