dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
casc-j13-fof,Problems/AGT/AGT007+2.p,balanced,balanced,TIMEOUT,185.601,20119.429,0.000,,20930,156142,20922,134202,1022,13,,,,,,,false,
casc-j13-fof,Problems/AGT/AGT022+1.p,balanced,balanced,TIMEOUT,167.466,20116.425,0.000,,21216,114476,21160,92430,655,13,,,,,,,false,
casc-j13-fof,Problems/ALG/ALG040+1.p,balanced,balanced,REFUTED,141.392,254.317,17.998,73.167,997,7774,990,6614,12,2,216,40059,604,388,5,false,false,
