dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,theBenchmark.p,e1a,age-fair,TIMEOUT,4,275.074,168281.431,,,948,7584671,914,7581670,,,,,,,,,false,
starexec,theBenchmark.p,e1a,balanced,TIMEOUT,4,112.103,168911.243,,,1301,12106251,1191,12098759,,,,,,,,,false,
starexec,theBenchmark.p,e1a,equational,TIMEOUT,4,190.071,168463.867,,,914,6829574,859,6824772,,,,,,,,,false,
starexec,theBenchmark.p,e1a,first-negative,TIMEOUT,4,259.667,168551.801,,,916,6813177,870,6808427,,,,,,,,,false,
starexec,theBenchmark.p,e1a,occurrence,TIMEOUT,4,243.606,168512.295,,,1046,7630722,980,7616560,,,,,,,,,false,
starexec,theBenchmark.p,e1a,subsumption-light,TIMEOUT,4,217.482,170748.844,,,929,6644141,852,6639331,,,,,,,,,false,
starexec,theBenchmark.p,e1a,unary-redundancy,TIMEOUT,4,249.266,168397.912,,,940,7301257,905,7296389,,,,,,,,,false,
starexec,theBenchmark.p,e1a,weight-greedy,TIMEOUT,4,230.828,168399.477,,,1048,6883297,970,6839503,,,,,,,,,false,
