pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,SZSResult,SZSOutput,SZSStatus
145889078,simon_guilloud/dryrun_lisast/AGT007+2.p,4867023,lisaSTv0.991,5175,e1b_balanced,419480,timeout (cpu),180.32,166.939,1.31151456E8,--,UNK-Non,Non,UNK
145889079,simon_guilloud/dryrun_lisast/AGT007+2.p,4867023,lisaSTv0.991,5175,e2_deconstruct,419472,complete,14.2046,6.09168,1.31155008E8,GaveUp,GUP-Non,Non,GUP
145889076,simon_guilloud/dryrun_lisast/AGT022+1.p,4867022,lisaSTv0.991,5175,e1b_balanced,419480,timeout (cpu),180.152,168.475,1.31151456E8,--,UNK-Non,Non,UNK
145889077,simon_guilloud/dryrun_lisast/AGT022+1.p,4867022,lisaSTv0.991,5175,e2_deconstruct,419472,complete,14.7747,8.32009,1.31151456E8,GaveUp,GUP-Non,Non,GUP
145889074,simon_guilloud/dryrun_lisast/ALG040+1.p,4867021,lisaSTv0.991,5175,e1b_balanced,419480,complete,6.67006,2.50397,1.30685508E8,Theorem,THM-Ass,Ass,THM
145889075,simon_guilloud/dryrun_lisast/ALG040+1.p,4867021,lisaSTv0.991,5175,e2_deconstruct,419472,complete,2.79433,1.12528,1.30685768E8,GaveUp,GUP-Non,Non,GUP
145889072,simon_guilloud/dryrun_lisast/ALG213+1.p,4867020,lisaSTv0.991,5175,e1b_balanced,419480,timeout (cpu),181.202,160.396,1.31153512E8,--,UNK-Non,Non,UNK
145889073,simon_guilloud/dryrun_lisast/ALG213+1.p,4867020,lisaSTv0.991,5175,e2_deconstruct,419472,complete,3.29615,1.59927,1.30685768E8,GaveUp,GUP-Non,Non,GUP
145889070,simon_guilloud/dryrun_lisast/BIO006+1.p,4867019,lisaSTv0.991,5175,e1b_balanced,419480,complete,1.35369,0.992852,1.30618948E8,GaveUp,GUP-Non,Non,GUP
145889071,simon_guilloud/dryrun_lisast/BIO006+1.p,4867019,lisaSTv0.991,5175,e2_deconstruct,419472,complete,0.943381,0.594393,1.30618948E8,GaveUp,GUP-Non,Non,GUP
