dataset,problem,config,strategy,verdict,hypotheses,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
starexec,theBenchmark.p,e1b,age-fair,TIMEOUT,555,574.268,175288.518,,,28115,125191,27604,96025,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,balanced,TIMEOUT,555,549.120,175299.216,,,30878,127122,30775,95005,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,equational,TIMEOUT,555,615.724,175302.001,,,27678,123352,27589,94575,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,first-negative,TIMEOUT,555,628.636,175291.161,,,32171,126327,32171,93714,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,occurrence,TIMEOUT,555,596.961,175382.918,,,32750,1868545,32711,1835003,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,subsumption-light,TIMEOUT,555,564.405,175339.120,,,27365,122528,27292,94101,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,unary-redundancy,TIMEOUT,555,566.452,175312.819,,,27263,122426,27190,94101,655,13,,,,,,,false,
starexec,theBenchmark.p,e1b,weight-greedy,TIMEOUT,555,562.796,175299.755,,,27877,100992,27874,71486,655,13,,,,,,,false,
